name,lat,lon,population,state
Wakulla,30.1673,-84.4007,33144,FL
Baker,30.3311,-82.2846,28003,FL
Bradford,29.95,-82.1687,27928,FL
Hardee,27.4927,-81.81,25632,FL
Washington,30.6106,-85.6653,24906,FL
Taylor,30.047,-83.6035,21762,FL
Holmes,30.8679,-85.814,19622,FL
Madison,30.4441,-83.4701,18051,FL
Gilchrist,29.7258,-82.8004,17759,FL
Dixie,29.6082,-83.1588,16701,FL
Union,30.0439,-82.3714,16141,FL
Gulf,29.9556,-85.2266,15205,FL
Jefferson,30.4375,-83.8953,14405,FL
Hamilton,30.4964,-82.9479,13973,FL
Calhoun,30.4061,-85.1971,13863,FL
Franklin,29.8765,-84.814,12232,FL
Glades,26.9564,-81.189,12183,FL
Lafayette,29.9855,-83.1811,8343,FL
Liberty,30.2414,-84.8829,7987,FL
Fulton,33.7903,-84.467,1054286,GA
Gwinnett,33.9617,-84.0236,948505,GA
Cobb,33.9415,-84.5767,762500,GA
DeKalb,33.7715,-84.2264,758634,GA
Chatham,32.0043,-81.1329,294815,GA
Clayton,33.5419,-84.3577,294335,GA
Cherokee,34.244,-84.4763,262155,GA
Forsyth,34.2255,-84.1251,245754,GA
Henry,33.453,-84.1542,236615,GA
Richmond,33.3596,-82.0736,205772,GA
Muscogee,32.51,-84.8771,204366,GA
Hall,34.3169,-83.8197,201703,GA
Paulding,33.9205,-84.8673,165688,GA
Houston,32.459,-83.6662,161177,GA
Bibb,32.8065,-83.6974,156711,GA
Columbia,33.5441,-82.2641,154274,GA
Coweta,33.3534,-84.7634,144928,GA
Douglas,33.7018,-84.768,143520,GA
Clarke,33.9512,-83.3673,128195,GA
Carroll,33.5828,-85.0798,118402,GA
Fayette,33.4139,-84.4943,117828,GA
Lowndes,30.8338,-83.2677,117437,GA
Newton,33.555,-83.8502,111262,GA
Bartow,34.2377,-84.8404,107868,GA
Whitfield,34.8056,-84.9672,103076,GA
Floyd,34.2632,-85.2143,98210,GA
Walton,33.7816,-83.7339,95453,GA
Rockdale,33.6543,-84.0266,92983,GA
Dougherty,31.5335,-84.2164,86825,GA
Glynn,31.2309,-81.5407,84373,GA
Barrow,33.9932,-83.7127,82138,GA
Bulloch,32.3968,-81.7432,79635,GA
Jackson,34.1339,-83.5664,73839,GA
Troup,33.0335,-85.0284,69483,GA
Walker,34.7356,-85.301,67772,GA
Catoosa,34.9036,-85.1382,67579,GA
Spalding,33.2609,-84.2841,66722,GA
Liberty,31.8282,-81.4949,64334,GA
Effingham,32.3674,-81.3414,63448,GA
Gordon,34.5032,-84.8759,57274,GA
Camden,30.9306,-81.6699,54256,GA
Laurens,32.4637,-82.9222,49202,GA
Colquitt,31.1884,-83.7688,45800,GA
Habersham,34.631,-83.5311,45767,GA
Thomas,30.8637,-83.9193,45669,GA
Baldwin,33.0693,-83.2496,43876,GA
Bryan,32.0145,-81.4436,43278,GA
Coffee,31.5493,-82.8492,43048,GA
Polk,34.0018,-85.1881,42692,GA
Tift,31.4574,-83.5266,41148,GA
Oconee,33.835,-83.4371,41006,GA
Murray,34.7884,-84.7481,39853,GA
Ware,31.0538,-82.4237,36084,GA
Harris,32.736,-84.9089,34316,GA
Lumpkin,34.5722,-84.0027,33188,GA
Pickens,34.4643,-84.4656,32814,GA
Lee,31.7795,-84.1411,32547,GA
Gilmer,34.6912,-84.4556,31047,GA
Wayne,31.5515,-81.9168,30118,GA
Madison,34.1278,-83.209,29906,GA
Sumter,32.0399,-84.197,29690,GA
Haralson,33.7942,-85.211,29685,GA
Decatur,30.8783,-84.579,29020,GA
Jones,33.0251,-83.5605,28297,GA
White,34.6464,-83.7471,27886,GA
Monroe,33.0139,-83.9187,27825,GA
Peach,32.5688,-83.8269,27822,GA
Upson,32.8813,-84.2994,27424,GA
Toombs,32.1216,-82.3312,26956,GA
Stephens,34.554,-83.2932,26641,GA
Dawson,34.4443,-84.1706,26202,GA
Grady,30.8747,-84.2345,26076,GA
Hart,34.3509,-82.9642,25808,GA
Fannin,34.8641,-84.3198,25198,GA
Butts,33.2879,-83.9572,24950,GA
Chattooga,34.475,-85.3453,24898,GA
Burke,33.0611,-82.0007,24231,GA
Union,34.8341,-83.9907,24183,GA
Franklin,34.3754,-83.2291,23256,GA
Tattnall,32.0458,-82.0581,23211,GA
Emanuel,32.5897,-82.3017,22739,GA
Mitchell,31.2253,-84.1943,21940,GA
Putnam,33.3218,-83.3728,21870,GA
McDuffie,33.4828,-82.4814,21727,GA
Worth,31.5515,-83.8509,20824,GA
Meriwether,33.0405,-84.6883,20659,GA
Crisp,31.9229,-83.7681,20524,GA
Dodge,32.1722,-83.1684,20089,GA
Washington,32.9695,-82.7959,20052,GA
Morgan,33.5909,-83.4923,19694,GA
Pierce,31.3588,-82.2128,19644,GA
Elbert,34.1168,-82.8401,19453,GA
Pike,33.0923,-84.3892,18754,GA
Appling,31.7492,-82.2889,18509,GA
Lamar,33.0765,-84.1395,18482,GA
